Job Title,Company,Location,Posted Time,Job URL
"Software Engineering Intern (Bachelors, 6-month Co-Op, Summer 2025)",Sandisk,"Rochester, MN",2 weeks ago,https://www.linkedin.com/jobs/view/software-engineering-intern-bachelors-6-month-co-op-summer-2025-at-sandisk-4168910290?position=1&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=OQBpdrDj%2BPAwJGn67FWVbw%3D%3D
Software Engineering Intern - Packet Forwarding Team (Summer 2025),Juniper Networks,"Sunnyvale, CA",3 days ago,https://www.linkedin.com/jobs/view/software-engineering-intern-packet-forwarding-team-summer-2025-at-juniper-networks-4182748393?position=2&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=2w%2BJ%2BGaISllS7zVPCewDiA%3D%3D
Software Engineering Intern - RAG & Automation (Summer 2025),Juniper Networks,"Sunnyvale, CA",N/A,https://www.linkedin.com/jobs/view/software-engineering-intern-rag-automation-summer-2025-at-juniper-networks-4185833265?position=3&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=EfVhn9t6HsZycq8S%2BUflUg%3D%3D
,,,,https://www.linkedin.com/jobs/view/intern-software-engineer-supply-chain-summer-2025-at-lucid-motors-4151852441?position=4&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=FfRsJTq%2FMfnuONaIN9Nxyg%3D%3D
,,,,https://www.linkedin.com/jobs/view/intern-software-engineer-supply-chain-summer-2025-at-lucid-motors-europe-4157793073?position=5&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=t8OMMwJk0AQk%2FziHcxFqfQ%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-engineering-intern-subscription-management-platform-at-cisco-thousandeyes-4173685131?position=6&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=h46lzrHb3ecCbeRiY%2BsrHg%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-engineering-intern-nrec-at-carnegie-mellon-university-4144970349?position=7&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=hiDfzTfl8pFxryYUVDKc5g%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-engineering-intern-central-management-office-at-uplift-education-4175589460?position=8&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=7ZiWkRB3sw0xwncGoRE%2Fkw%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-engineering-intern-network-security-group-summer-2025-at-juniper-networks-4178402656?position=9&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=tUlUQGOGGbq3S4R3WDgiXg%3D%3D
,,,,https://www.linkedin.com/jobs/view/strategic-student-program-xcelerator-security-software-engineering-intern-summer-2025-fto-at-siemens-eda-siemens-digital-industries-software-4171424337?position=10&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=Zon0G3QQUjf3XPCKTbjFcA%3D%3D
,,,,https://www.linkedin.com/jobs/view/engineering-engines-intern-%E2%80%93-computer-or-software-engineering-%E2%80%93-us-%E2%80%93-summer-2026-returning-students-at-ge-aerospace-4181016950?position=11&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=WWn2%2F2%2FXY2cHJAGK8ZMUng%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-project-management-intern-at-leepfrog-technologies-4150916693?position=12&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=6FDYJHc1toQ4fvPaiPlvmA%3D%3D
,,,,https://www.linkedin.com/jobs/view/systems-engineer-intern-cec-at-epsilon-systems-solutions-inc-4162013031?position=13&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=pnQmQmSTllXTeZTsLiEMAw%3D%3D
,,,,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-summer-2025-at-turion-space-4139288564?position=14&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=4HjM3MH%2FCcPr%2FMTJRt4ogw%3D%3D
,,,,https://www.linkedin.com/jobs/view/strategic-student-program-software-development-intern-summer-2025-ebs-at-siemens-digital-industries-software-4107668711?position=15&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=JygWmfW9nJuHdGc%2BdmWaBA%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-education-intern-at-the-reynolds-and-reynolds-company-4127257264?position=16&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=xtiTbntJUfMO4Fd%2FqchYhg%3D%3D
,,,,https://www.linkedin.com/jobs/view/intern-software-engineering-pss-at-federal-signal-corporation-4173898891?position=17&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=13mgRE51kFl8QYeGRrOlHg%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-management-information-systems-intern-summer-2025-at-retensa-employee-retention-4149195869?position=18&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=o3jq6t98sBZ%2BURho1gQIWA%3D%3D
,,,,https://www.linkedin.com/jobs/view/video-experience-software-engineer-intern-global-streamingmedia-2025-summer-fall-bs-ms-at-bytedance-4182903401?position=19&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=ClEQyG74CG6%2FVc%2F8gB4nag%3D%3D
,,,,https://www.linkedin.com/jobs/view/intern-software-project-management-summer-2025-at-biom%C3%A9rieux-4181828027?position=20&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=MtQiNl1zGZ9%2FzTZ0CXvQCQ%3D%3D
,,,,https://www.linkedin.com/jobs/view/software-marketing-intern-at-assa-abloy-group-4181858388?position=21&pageNum=0&refId=tvbCSK5k6Wu%2BpuBc2yiD0Q%3D%3D&trackingId=4ZvTUrbq5eplsn8GpeonsA%3D%3D
